task_category,industry_sector,implementation_cost_low,implementation_cost_high,roi_timeline_months,technology_maturity,wef_adoption_score,regulatory_friction,min_org_size,annual_labor_cost_threshold,source,source_url,as_of_year,adoption_current_pct,adoption_expected_pct,payback_months,region,country,evidence_note,source_page
,Manufacturing,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,Future of Jobs Report 2025 I N S I G H T R E P O R T J A N U A R Y 2 0 2 5,1
,Healthcare,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,Future of Jobs Report 2025 I N S I G H T R E P O R T J A N U A R Y 2 0 2 5,1
,Finance,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,Future of Jobs Report 2025 I N S I G H T R E P O R T J A N U A R Y 2 0 2 5,1
,Retail,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,Future of Jobs Report 2025 I N S I G H T R E P O R T J A N U A R Y 2 0 2 5,1
,Transportation & Logistics,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,Future of Jobs Report 2025 I N S I G H T R E P O R T J A N U A R Y 2 0 2 5,1
,Information Technology,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,Future of Jobs Report 2025 I N S I G H T R E P O R T J A N U A R Y 2 0 2 5,1
,Manufacturing,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Terms of use and disclaimer The findings, interpretations and conclusions and the World Economic Forum will not be liable to expressed in this work do not necessarily reflect users for any claims brought against users by third the views of the World Economi...",2
,Healthcare,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Terms of use and disclaimer The findings, interpretations and conclusions and the World Economic Forum will not be liable to expressed in this work do not necessarily reflect users for any claims brought against users by third the views of the World Economi...",2
,Finance,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Terms of use and disclaimer The findings, interpretations and conclusions and the World Economic Forum will not be liable to expressed in this work do not necessarily reflect users for any claims brought against users by third the views of the World Economi...",2
,Retail,,,,,,,,,WEF Future of Jobs 2025,/public/docs/WEF_Future_of_Jobs_Report_2025.pdf,2025,,,,Global,,"January 2025 Future of Jobs Report 2025 Terms of use and disclaimer The findings, interpretations and conclusions and the World Economic Forum will not be liable to expressed in this work do not necessarily reflect users for any claims brought against users by third the views of the World Economi...",2
